ID,Binomial,Replicate,Included.in.LPR2024,Citation,Class,Order,Family,Genus,Species,Subspecies,Common_name,Location,Country,All_countries,Region,IPBES_region,IPBES_subregion,Latitude,Longitude,Specific_location,System,T_realm,T_biome,FW_realm,FW_biome,M_realm,M_ocean,M_biome,Units,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Native
191,Psophodes_nigrogularis,0,1," Garnett, S. T. and G. M. Crowley (2000). The Action Plan for Australian Birds 2000. Canberra, Australia, Environment Australia.",Aves,Passeriformes,Psophodidae,Psophodes,nigrogularis,nigrogularis,Western whipbird,"Two Peoples Bay Nature Reserve, Western Heath, Australia",Australia,Australia,Oceania,Asia and the Pacific,Oceania,-34.97917,118.14917,1,Terrestrial,Australasia,"Temperate grasslands, savannas and shrublands",NULL,NULL,NULL,NULL,NULL,Breeding pairs - sub-population,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
193,Macropus_fuliginosus,0,1," Australian Government: Department of Environment and Heritage (2006, Friday, 19-May-2006 10:26:12 EST). ""Population estimates and trends."" Kangaroos - Australia's best-known animals. Retrieved 30/08/06, 2006, from http://www.deh.gov.au/biodiversity/trade-use/wild-harvest/kangaroo/index.html.",Mammalia,Diprotodontia,Macropodidae,Macropus,fuliginosus,fuliginosus,Western grey kangaroo,Australia,Australia,Australia,Oceania,Asia and the Pacific,Oceania,-23.7,133.88333,0,Terrestrial,Australasia,"Temperate grasslands, savannas and shrublands",NULL,NULL,NULL,NULL,NULL,Population estimate (individuals),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3424992,3764289,2610931,3019320,2625708,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
194,Macropus_giganteus,0,1," Australian Government: Department of Environment and Heritage (2006, Friday, 19-May-2006 10:26:12 EST). ""Population estimates and trends."" Kangaroos - Australia's best-known animals. Retrieved 30/08/06, 2006, from http://www.deh.gov.au/biodiversity/trade-use/wild-harvest/kangaroo/index.html.",Mammalia,Diprotodontia,Macropodidae,Macropus,giganteus,tasmaniensis,Eastern grey kangaroo,Australia,Australia,Australia,Oceania,Asia and the Pacific,Oceania,-23.7,133.88333,0,Terrestrial,Australasia,"Temperate grasslands, savannas and shrublands",NULL,NULL,NULL,NULL,NULL,Population estimate (individuals),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29721271,23383249,13875828,11111840,10876498,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
197,Trichosurus_vulpecula,0,1," Tasmanian Parks and Wildlife Service (1996). Management program for the Brushtail possum Trichosurus vulpecula (Kerr) in Tasmania - Review of background information. D. o. t. E. a. Heritage. Canberra, ACT, Australia, Department of the Environment and Heritage.",Mammalia,Diprotodontia,Phalangeridae,Trichosurus,vulpecula,NULL,Common brush-tailed possum,"Tasmania, Australia",Australia,Australia,Oceania,Asia and the Pacific,Oceania,-42,147,0,Terrestrial,Australasia,Temperate broadleaf and mixed forests,NULL,NULL,NULL,NULL,NULL,Average count per route,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,3,4.5,4,3.5,2.5,2.75,2.25,5,3,2.5,5,4.5,5.5,4.5,7.5,6.5,7.5,8.25,8,8.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
653,Anseranas_semipalmata,0,1," Corbett, L., A. L. Hertog, et al. (1996). ""An Experimental Study of the Impact of Feral Swamp Buffalo Bubalus bulalis on the Breeding Habitat and Nesting Success of Magpie Geese Anseranas semipalmata in Kakadu National Park."" Biological Conservation 76: 277-287.",Aves,Anseriformes,Anseranatidae,Anseranas,semipalmata,NULL,Magpie goose,"Darwin-Oenpelli area, Northern Territories, Australia",Australia,Australia,Oceania,Asia and the Pacific,Oceania,-13.03444,132.44,1,Freshwater,NULL,NULL,Australasia,Tropical and subtropical coastal rivers,NULL,NULL,NULL,Number of birds,NULL,NULL,NULL,NULL,NULL,NULL,350000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,382000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
670,Crocodylus_porosus,1,0," Parks and Wildlife Service of the Northern Territory (2005). Management plan for Crocodylus porosus in the Northern Territory, Northern Territory Government.",Reptilia,Crocodylia,Crocodylidae,Crocodylus,porosus,NULL,Saltwater crocodile / Estuarine crocodile,"Northern Territory, Australia , Australia",Australia,Australia,Oceania,Asia and the Pacific,Oceania,-18.44333,133.45361,0,Freshwater,NULL,NULL,Australasia,Tropical and subtropical coastal rivers,NULL,NULL,NULL,Number of non-hatchlings,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,35000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,72500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
2167,Sterna_striata,0,1," Garnett, S. T. and G. M. Crowley (2000). The Action Plan for Australian Birds 2000. Canberra, Australia, Environment Australia.",Aves,Charadriiformes,Laridae,Sterna,striata,NULL,White-fronted tern,"South East Coast, Australia, Australia",Australia,Australia,Oceania,Asia and the Pacific,Oceania,-39.88167,146.23,0,Marine,NULL,NULL,NULL,NULL,South temperate and Antarctic,Indian Ocean,Unknown,Number of pairs,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30,NULL,NULL,NULL,53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
2194,Dugong_dugon,0,1," CRC, R. R. C. (2002). Dugongs in the Great Barrier Reef. http://www.gbrmpa.gov.au/~crcreef/4news/Exploring/dugong/dugong4.html, The Cooperative Research Centre for the Great Barrier Reef World Heritage Area 1-6.",Mammalia,Sirenia,Dugongidae,Dugong,dugon,NULL,Dugong,"Between Dunk Island and Bundaberg, Queensland",Australia,Australia,Oceania,Asia and the Pacific,Oceania,-21.42139,149.54194,0,Marine,NULL,NULL,NULL,NULL,Tropical and subtropical Indo-Pacific,South Pacific Ocean,Unknown,Number of individuals,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1700,NULL,NULL,NULL,NULL,4000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
2283,Aptenodytes_patagonicus,0,1,"Garnett, S. T. and G. M. Crowley (2000). The Action Plan for Australian Birds 2000. Canberra, Australia, Environment Australia.",Aves,Sphenisciformes,Spheniscidae,Aptenodytes,patagonicus,NULL,King penguin,Macquarie Island,Australia,Australia,Oceania,Asia and the Pacific,Oceania,-54.61667,158.9,1,Marine,NULL,NULL,NULL,NULL,South temperate and Antarctic,South Pacific Ocean,Unknown,Artificial percentage increase,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,109.3,119.4649,130.57514,142.71862,155.99146,170.49866,186.35504,203.68605,222.62886,243.33334,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
3500,Crocodylus_porosus,1,0," Messel, H. and G. C. Vorlicek (1986). ""Population Dynamics and Status of Crocodylus porosus in the Tidal Waterways of Northern Australia."" Australian Wildlife Research 13: 71-111.",Reptilia,Crocodylia,Crocodylidae,Crocodylus,porosus,NULL,Saltwater crocodile / Estuarine crocodile,"Liverpool-Tomkinson river system, Arnhem Land, Northern Territory, Australia",Australia,Australia,Oceania,Asia and the Pacific,Oceania,-12.11667,134.18333,0,Freshwater,NULL,NULL,Australasia,Tropical and subtropical coastal rivers,NULL,NULL,NULL,Total number sighted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,228,228,233,355,295,254,384,327,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
